Offer_ID|Description|BeginDate|EndDate|PercentOff
1|varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem|2010-06-14 05:06:11|2011-03-22 00:05:16|0.58
2|nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere|2010-11-09 07:44:42|2011-04-11 23:08:02|0.69
3|Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a,|2010-05-06 14:36:09|2011-08-17 08:33:16|0.40
4|sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id|2010-12-01 09:46:54|2011-06-13 02:50:54|0.60
5|erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus|2010-11-27 12:41:27|2011-08-17 17:57:43|0.93
6|ante ipsum primis in faucibus orci luctus et ultrices posuere|2010-05-31 09:02:45|2011-03-21 20:55:29|0.17
7|erat semper rutrum. Fusce dolor quam, elementum at, egestas a,|2010-03-29 12:03:16|2011-05-13 14:07:18|0.29
8|Cras sed leo. Cras vehicula aliquet libero. Integer in magna.|2010-06-23 17:55:18|2011-11-23 04:27:38|0.12
9|enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin|2010-09-30 05:07:26|2011-12-29 16:06:24|0.51
10|ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque|2010-07-30 20:45:42|2011-08-02 22:08:29|0.43
11|Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat.|2010-11-19 12:44:32|2011-05-17 04:52:22|0.28
12|amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat|2010-12-24 00:38:40|2011-12-24 22:07:34|0.25
13|nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris|2010-06-18 23:51:05|2011-04-20 07:23:59|0.29
14|Vestibulum ante ipsum primis in faucibus orci luctus et ultrices|2010-03-06 18:07:34|2011-08-15 11:34:35|0.95
15|ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris|2010-02-26 14:06:10|2011-12-12 12:56:23|0.35
16|pretium aliquet, metus urna convallis erat, eget tincidunt dui augue|2010-09-24 18:04:29|2011-10-09 13:39:10|0.07
17|turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus.|2010-06-10 15:11:11|2011-05-06 20:31:21|0.10
18|Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis|2010-03-29 00:43:55|2011-03-15 09:37:34|0.52
19|sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum|2010-06-09 23:26:47|2011-07-03 08:43:30|0.87
20|congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum|2011-02-02 12:51:20|2012-02-04 17:18:44|0.72

