Order_ID|OrderDate|PackageTrackingNumber|OrderTotal|PaymentType|Customer_ID
100|2011-08-18 08:05:29|1174320297|98.97|EBT|3
101|2011-05-28 10:18:15|1982107770|79.09|EBT|4
102|2012-02-14 09:00:03|1470168144|67.46|Check|10
103|2010-11-16 06:53:05|3760740731|67.77|Check|8
104|2011-01-02 07:12:34|1655113580|87.92|Credit|3
105|2010-08-23 14:26:46|0303561233|71.77|Check|4
106|2011-01-23 23:30:12|3651638663|38.52|EBT|7
107|2010-03-19 12:27:14|1894166844|17.34|Credit|6
108|2010-08-15 08:07:28|3479708330|89.80|Credit|6
109|2010-12-25 06:57:53|4189597931|89.31|EBT|1

